"Time_Iter","Outer_Iter","Inner_Iter",     "rms[T]"     
          0,           0,           0,      -4.597399281
          0,           0,           1,      -4.751066588
          0,           0,           2,      -4.910409288
          0,           0,           3,      -5.072102547
          0,           0,           4,      -5.229977709
          0,           0,           5,      -5.375489973
          0,           0,           6,      -5.499566831
          0,           0,           7,      -5.597261173
          0,           0,           8,      -5.670926663
          0,           0,           9,      -5.727555703
          0,           0,          10,      -5.773933865
          0,           0,          11,      -5.814451037
          0,           0,          12,      -5.851349533
          0,           0,          13,      -5.885598876
          0,           0,          14,      -5.917569536
          0,           0,          15,      -5.947408593
          0,           0,          16,      -5.975212951
          0,           0,          17,      -6.001092745
          0,           0,          18,      -6.025183362
          0,           0,          19,      -6.047637787
          0,           0,          20,      -6.068614615
          0,           0,          21,       -6.08826795
          0,           0,          22,      -6.106740864
          0,           0,          23,      -6.124162123
          0,           0,          24,      -6.140645268
          0,           0,          25,      -6.156289161
          0,           0,          26,      -6.171179285
          0,           0,          27,      -6.185389358
          0,           0,          28,      -6.198982973
          0,           0,          29,      -6.212015123
          0,           0,          30,      -6.224533547
          0,           0,          31,       -6.23657989
          0,           0,          32,      -6.248190675
          0,           0,          33,      -6.259398103
          0,           0,          34,      -6.270230729
          0,           0,          35,      -6.280714004
          0,           0,          36,       -6.29087073
          0,           0,          37,      -6.300721432
          0,           0,          38,      -6.310284667
          0,           0,          39,      -6.319577281
          0,           0,          40,      -6.328614623
          0,           0,          41,      -6.337410727
          0,           0,          42,      -6.345978465
          0,           0,          43,      -6.354329674
          0,           0,          44,      -6.362475275
          0,           0,          45,      -6.370425362
          0,           0,          46,      -6.378189289
          0,           0,          47,      -6.385775742
          0,           0,          48,      -6.393192802
          0,           0,          49,      -6.400448004
          0,           0,          50,      -6.407548381
          0,           0,          51,      -6.414500514
          0,           0,          52,      -6.421310567
          0,           0,          53,      -6.427984322
          0,           0,          54,      -6.434527213
          0,           0,          55,       -6.44094435
          0,           0,          56,      -6.447240549
          0,           0,          57,      -6.453420349
          0,           0,          58,      -6.459488037
          0,           0,          59,      -6.465447668
          0,           0,          60,      -6.471303075
          0,           0,          61,      -6.477057891
          0,           0,          62,      -6.482715561
          0,           0,          63,      -6.488279354
          0,           0,          64,      -6.493752376
          0,           0,          65,       -6.49913758
          0,           0,          66,      -6.504437777
          0,           0,          67,      -6.509655643
          0,           0,          68,       -6.51479373
          0,           0,          69,      -6.519854471
          0,           0,          70,      -6.524840191
          0,           0,          71,      -6.529753108
          0,           0,          72,      -6.534595345
          0,           0,          73,      -6.539368933
          0,           0,          74,      -6.544075814
          0,           0,          75,       -6.54871785
          0,           0,          76,      -6.553296825
          0,           0,          77,      -6.557814452
          0,           0,          78,      -6.562272371
          0,           0,          79,      -6.566672161
          0,           0,          80,      -6.571015335
          0,           0,          81,       -6.57530335
          0,           0,          82,      -6.579537606
          0,           0,          83,      -6.583719452
          0,           0,          84,      -6.587850183
          0,           0,          85,       -6.59193105
          0,           0,          86,      -6.595963256
          0,           0,          87,      -6.599947963
          0,           0,          88,       -6.60388629
          0,           0,          89,      -6.607779316
          0,           0,          90,      -6.611628086
          0,           0,          91,      -6.615433605
          0,           0,          92,      -6.619196846
          0,           0,          93,      -6.622918751
          0,           0,          94,      -6.626600227
          0,           0,          95,      -6.630242156
          0,           0,          96,      -6.633845386
          0,           0,          97,      -6.637410742
          0,           0,          98,      -6.640939022
          0,           0,          99,      -6.644430998
          0,           0,         100,      -6.647887418
          0,           0,         101,      -6.651309007
          0,           0,         102,       -6.65469647
          0,           0,         103,      -6.658050489
          0,           0,         104,      -6.661371725
          0,           0,         105,       -6.66466082
          0,           0,         106,      -6.667918399
          0,           0,         107,      -6.671145067
          0,           0,         108,      -6.674341412
          0,           0,         109,      -6.677508006
          0,           0,         110,      -6.680645404
          0,           0,         111,      -6.683754147
          0,           0,         112,      -6.686834758
          0,           0,         113,       -6.68988775
          0,           0,         114,      -6.692913619
          0,           0,         115,      -6.695912848
          0,           0,         116,      -6.698885909
          0,           0,         117,      -6.701833259
          0,           0,         118,      -6.704755346
          0,           0,         119,      -6.707652603
          0,           0,         120,      -6.710525455
          0,           0,         121,      -6.713374314
          0,           0,         122,      -6.716199582
          0,           0,         123,      -6.719001652
          0,           0,         124,      -6.721780907
          0,           0,         125,       -6.72453772
          0,           0,         126,      -6.727272455
          0,           0,         127,      -6.729985467
          0,           0,         128,      -6.732677102
          0,           0,         129,        -6.7353477
          0,           0,         130,       -6.73799759
          0,           0,         131,      -6.740627096
          0,           0,         132,      -6.743236532
          0,           0,         133,      -6.745826207
          0,           0,         134,      -6.748396421
          0,           0,         135,      -6.750947469
          0,           0,         136,      -6.753479637
          0,           0,         137,      -6.755993208
          0,           0,         138,      -6.758488454
          0,           0,         139,      -6.760965646
          0,           0,         140,      -6.763425046
          0,           0,         141,       -6.76586691
          0,           0,         142,      -6.768291491
          0,           0,         143,      -6.770699034
          0,           0,         144,      -6.773089781
          0,           0,         145,      -6.775463967
          0,           0,         146,      -6.777821823
          0,           0,         147,      -6.780163575
          0,           0,         148,      -6.782489444
          0,           0,         149,      -6.784799648
          0,           0,         150,      -6.787094398
          0,           0,         151,      -6.789373903
          0,           0,         152,      -6.791638366
          0,           0,         153,      -6.793887988
          0,           0,         154,      -6.796122964
          0,           0,         155,      -6.798343487
          0,           0,         156,      -6.800549744
          0,           0,         157,      -6.802741919
          0,           0,         158,      -6.804920195
          0,           0,         159,      -6.807084749
          0,           0,         160,      -6.809235754
          0,           0,         161,      -6.811373381
          0,           0,         162,      -6.813497799
          0,           0,         163,      -6.815609171
          0,           0,         164,      -6.817707659
          0,           0,         165,      -6.819793422
          0,           0,         166,      -6.821866614
          0,           0,         167,      -6.823927389
          0,           0,         168,      -6.825975896
          0,           0,         169,      -6.828012283
          0,           0,         170,      -6.830036693
          0,           0,         171,       -6.83204927
          0,           0,         172,      -6.834050153
          0,           0,         173,      -6.836039478
          0,           0,         174,       -6.83801738
          0,           0,         175,      -6.839983991
          0,           0,         176,      -6.841939441
          0,           0,         177,      -6.843883859
          0,           0,         178,      -6.845817369
          0,           0,         179,      -6.847740095
          0,           0,         180,      -6.849652158
          0,           0,         181,      -6.851553678
          0,           0,         182,      -6.853444771
          0,           0,         183,      -6.855325553
          0,           0,         184,      -6.857196138
          0,           0,         185,      -6.859056637
          0,           0,         186,      -6.860907159
          0,           0,         187,      -6.862747813
          0,           0,         188,      -6.864578705
          0,           0,         189,      -6.866399938
          0,           0,         190,      -6.868211617
          0,           0,         191,      -6.870013843
          0,           0,         192,      -6.871806713
          0,           0,         193,      -6.873590328
          0,           0,         194,      -6.875364783
          0,           0,         195,      -6.877130173
          0,           0,         196,      -6.878886591
          0,           0,         197,       -6.88063413
          0,           0,         198,       -6.88237288
          0,           0,         199,      -6.884102931
          0,           0,         200,       -6.88582437
          0,           0,         201,      -6.887537284
          0,           0,         202,      -6.889241758
          0,           0,         203,      -6.890937876
          0,           0,         204,      -6.892625721
          0,           0,         205,      -6.894305374
          0,           0,         206,      -6.895976915
          0,           0,         207,      -6.897640425
          0,           0,         208,      -6.899295979
          0,           0,         209,      -6.900943657
          0,           0,         210,      -6.902583532
          0,           0,         211,       -6.90421568
          0,           0,         212,      -6.905840175
          0,           0,         213,      -6.907457088
          0,           0,         214,      -6.909066492
          0,           0,         215,      -6.910668456
          0,           0,         216,      -6.912263051
          0,           0,         217,      -6.913850344
          0,           0,         218,      -6.915430403
          0,           0,         219,      -6.917003296
          0,           0,         220,      -6.918569087
          0,           0,         221,      -6.920127841
          0,           0,         222,      -6.921679622
          0,           0,         223,      -6.923224494
          0,           0,         224,      -6.924762519
          0,           0,         225,      -6.926293757
          0,           0,         226,      -6.927818269
          0,           0,         227,      -6.929336115
          0,           0,         228,      -6.930847355
          0,           0,         229,      -6.932352045
          0,           0,         230,      -6.933850244
          0,           0,         231,      -6.935342008
          0,           0,         232,      -6.936827393
          0,           0,         233,      -6.938306454
          0,           0,         234,      -6.939779246
          0,           0,         235,      -6.941245822
          0,           0,         236,      -6.942706235
          0,           0,         237,      -6.944160537
          0,           0,         238,      -6.945608781
          0,           0,         239,      -6.947051018
          0,           0,         240,      -6.948487297
          0,           0,         241,      -6.949917669
          0,           0,         242,      -6.951342183
          0,           0,         243,      -6.952760886
          0,           0,         244,      -6.954173828
          0,           0,         245,      -6.955581056
          0,           0,         246,      -6.956982615
          0,           0,         247,      -6.958378553
          0,           0,         248,      -6.959768915
          0,           0,         249,      -6.961153746
          0,           0,         250,      -6.962533091
          0,           0,         251,      -6.963906993
          0,           0,         252,      -6.965275496
          0,           0,         253,      -6.966638643
          0,           0,         254,      -6.967996476
          0,           0,         255,      -6.969349038
          0,           0,         256,      -6.970696369
          0,           0,         257,      -6.972038511
          0,           0,         258,      -6.973375503
          0,           0,         259,      -6.974707387
          0,           0,         260,      -6.976034201
          0,           0,         261,      -6.977355985
          0,           0,         262,      -6.978672776
          0,           0,         263,      -6.979984614
          0,           0,         264,      -6.981291536
          0,           0,         265,       -6.98259358
          0,           0,         266,      -6.983890781
          0,           0,         267,      -6.985183177
          0,           0,         268,      -6.986470803
          0,           0,         269,      -6.987753696
          0,           0,         270,       -6.98903189
          0,           0,         271,       -6.99030542
          0,           0,         272,      -6.991574321
          0,           0,         273,      -6.992838627
          0,           0,         274,      -6.994098371
          0,           0,         275,      -6.995353587
          0,           0,         276,      -6.996604308
          0,           0,         277,      -6.997850566
          0,           0,         278,      -6.999092393
          0,           0,         279,      -7.000329822
          0,           0,         280,      -7.001562883
          0,           0,         281,      -7.002791609
          0,           0,         282,       -7.00401603
          0,           0,         283,      -7.005236176
          0,           0,         284,      -7.006452078
          0,           0,         285,      -7.007663766
          0,           0,         286,      -7.008871269
          0,           0,         287,      -7.010074616
          0,           0,         288,      -7.011273836
          0,           0,         289,      -7.012468959
          0,           0,         290,      -7.013660012
          0,           0,         291,      -7.014847023
          0,           0,         292,      -7.016030021
          0,           0,         293,      -7.017209032
          0,           0,         294,      -7.018384084
          0,           0,         295,      -7.019555204
          0,           0,         296,      -7.020722418
          0,           0,         297,      -7.021885753
          0,           0,         298,      -7.023045235
          0,           0,         299,      -7.024200889
          0,           0,         300,      -7.025352742
          0,           0,         301,      -7.026500818
          0,           0,         302,      -7.027645143
          0,           0,         303,      -7.028785741
          0,           0,         304,      -7.029922637
          0,           0,         305,      -7.031055856
          0,           0,         306,      -7.032185421
          0,           0,         307,      -7.033311356
          0,           0,         308,      -7.034433684
          0,           0,         309,       -7.03555243
          0,           0,         310,      -7.036667617
          0,           0,         311,      -7.037779266
          0,           0,         312,      -7.038887402
          0,           0,         313,      -7.039992045
          0,           0,         314,       -7.04109322
          0,           0,         315,      -7.042190947
          0,           0,         316,      -7.043285248
          0,           0,         317,      -7.044376146
          0,           0,         318,      -7.045463661
          0,           0,         319,      -7.046547815
          0,           0,         320,      -7.047628629
          0,           0,         321,      -7.048706123
          0,           0,         322,      -7.049780319
          0,           0,         323,      -7.050851236
          0,           0,         324,      -7.051918894
          0,           0,         325,      -7.052983315
          0,           0,         326,      -7.054044517
          0,           0,         327,      -7.055102521
          0,           0,         328,      -7.056157345
          0,           0,         329,       -7.05720901
          0,           0,         330,      -7.058257534
          0,           0,         331,      -7.059302936
          0,           0,         332,      -7.060345234
          0,           0,         333,      -7.061384449
          0,           0,         334,      -7.062420597
          0,           0,         335,      -7.063453698
          0,           0,         336,      -7.064483769
          0,           0,         337,      -7.065510829
          0,           0,         338,      -7.066534894
          0,           0,         339,      -7.067555983
          0,           0,         340,      -7.068574113
          0,           0,         341,      -7.069589302
          0,           0,         342,      -7.070601566
          0,           0,         343,      -7.071610922
          0,           0,         344,      -7.072617388
          0,           0,         345,       -7.07362098
          0,           0,         346,      -7.074621715
          0,           0,         347,      -7.075619609
          0,           0,         348,      -7.076614677
          0,           0,         349,      -7.077606938
          0,           0,         350,      -7.078596405
          0,           0,         351,      -7.079583096
          0,           0,         352,      -7.080567025
          0,           0,         353,      -7.081548209
          0,           0,         354,      -7.082526662
          0,           0,         355,      -7.083502401
          0,           0,         356,      -7.084475439
          0,           0,         357,      -7.085445793
          0,           0,         358,      -7.086413478
          0,           0,         359,      -7.087378506
          0,           0,         360,      -7.088340895
          0,           0,         361,      -7.089300657
          0,           0,         362,      -7.090257808
          0,           0,         363,      -7.091212362
          0,           0,         364,      -7.092164332
          0,           0,         365,      -7.093113734
