"Time_Iter","Outer_Iter","Inner_Iter",    "rms[P][0]"   ,    "rms[U][0]"   ,    "rms[V][0]"   ,    "rms[T][0]"   ,    "bgs[P][0]"   ,    "bgs[U][0]"   ,    "bgs[V][0]"   ,    "bgs[T][0]"   ,      "HF[0]"     ,    "maxHF[0]"    ,     "Temp[0]"    ,"LinSolIter[0]",  "LinSolRes[0]"  , "Avg_Massflow[0]",   "Avg_Mach[0]"  ,   "Avg_Temp[0]"  ,  "Avg_Press[0]"  , "Avg_Density[0]" , "Avg_Enthalpy[0]","Avg_NormalVel[0]",  "Uniformity[0]" ,"Secondary_Strength[0]","Momentum_Distortion[0]","Secondary_Over_Uniformity[0]","Avg_TotalTemp[0]","Avg_TotalPress[0]","Pressure_Drop[0]",    "rms[T][1]"   ,    "bgs[T][1]"   ,      "HF[1]"     ,    "MaxHF[1]"    ,   "AvgTemp[1]"   
          0,          14,           0,      -2.221659113,      -1.837340913,      -2.094125681,       7.658327044,      0.6744392466,      -1.669367304,       -1.85002764,       3.565939472,  2.416697429e+011,  4.645353079e+011,                 0,              5,      -4.595566538,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                      0,                       0,                             0,                 0,                  0,                 0,       1.764492347,       4.278280105,   -0.007476697088,                 0,       338.0000006
          0,          15,           0,      -2.240614708,      -1.838199285,      -2.079128071,       7.964048357,      0.6735791873,      -1.664685295,      -1.845938415,       3.870831102,  5.018301496e+011,   9.40041207e+011,                 0,              5,      -4.603140458,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                      0,                       0,                             0,                 0,                  0,                 0,       2.070480056,       4.584418595,    -0.01509766422,                 0,       338.0000014
          0,          16,           0,      -2.258761906,      -1.838910618,      -2.065071441,       8.270181059,      0.6721477434,      -1.659985252,      -1.842297259,       4.176648743,  1.035054448e+012,  1.902327316e+012,                 0,              5,       -4.60533126,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                      0,                       0,                             0,                 0,                  0,                 0,       2.376781315,       4.890926455,    -0.02656213123,                 0,       338.0000027
          0,          17,           0,      -2.275029713,      -1.839788579,      -2.045962971,       8.576536063,      0.6708951098,      -1.656582961,      -1.838532048,       4.482980011,  2.124629742e+012,  3.849764791e+012,                 0,              5,      -4.605249467,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                      0,                       0,                             0,                 0,                  0,                 0,       2.683256205,       5.197638519,    -0.03742077484,                 0,       338.0000047
          0,          18,           0,      -2.288598387,       -1.83756813,      -2.026208381,       8.883011837,      0.6705595347,      -1.655734944,      -1.833172366,       4.789595605,  4.346135636e+012,  7.791016032e+012,                 0,              5,       -4.60417172,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                      0,                       0,                             0,                 0,                  0,                 0,       2.989828084,       5.504464367,    -0.02744008116,                 0,       338.0000061
          0,          19,           0,      -2.298976235,      -1.834404436,      -2.007538708,        9.18955382,      0.6705421677,      -1.658389315,      -1.823688967,       5.096369208,  8.868254602e+012,   1.57675885e+013,                 0,              5,      -4.602634834,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                      0,                       0,                             0,                 0,                  0,                 0,       3.296455147,       5.811354708,     0.06671293974,                 0,       338.0000029
          0,          20,           0,      -2.306921815,      -1.831031168,      -1.987520571,       9.496133716,      0.6680065192,      -1.665396066,      -1.807851737,       5.403231647,  1.806278664e+013,  3.191156158e+013,                 0,              5,      -4.600842365,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                      0,                       0,                             0,                 0,                  0,                 0,       3.603114659,       6.118282746,      0.4153465124,                 0,       337.9999818
          0,          21,           0,      -2.313181184,       -1.81991721,      -1.964076324,        9.80273888,      0.6599618489,      -1.678120844,      -1.786745692,       5.710145194,  3.674152937e+013,  6.458665027e+013,                 0,              5,      -4.598892201,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                      0,                       0,                             0,                 0,                  0,                 0,       3.909794289,       6.425233946,       1.438878247,                 0,       337.9999079
          0,          22,           0,      -2.312554491,      -1.801424779,      -1.937693896,       10.10936412,      0.6488117648,      -1.699072351,      -1.766264839,       6.017089334,  7.466390764e+013,  1.307223122e+014,                 0,              5,      -4.596801248,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                      0,                       0,                             0,                 0,                  0,                 0,       4.216487366,       6.732200444,       4.119338641,                 0,       337.9996954
          0,          23,           0,      -2.292301785,      -1.773065129,      -1.905208307,       10.41600718,      0.6459276847,      -1.731491175,      -1.754288225,        6.32405294,  1.516206036e+014,  2.645874724e+014,                 0,              5,      -4.594593831,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                      0,                       0,                             0,                 0,                  0,                 0,       4.523190293,       7.039177991,       10.66458102,                 0,       337.9991432
          0,          24,           0,      -2.235162981,       -1.71210179,      -1.869230626,        10.7226659,      0.6644255973,      -1.777378842,      -1.757249135,       6.631029998,  3.077387927e+014,  5.355521652e+014,                 0,              5,      -4.592267239,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                      0,                       0,                             0,                 0,                  0,                 0,       4.829901143,       7.346164302,       25.90420878,                 0,       337.9977987
          0,          25,           0,      -2.144785068,        -1.6334207,      -1.824929605,        11.0293387,      0.7005017177,      -1.836725362,      -1.778789317,       6.938017265,  6.243715774e+014,   1.08404569e+015,                 0,              5,      -4.589828103,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                      0,                       0,                             0,                 0,                  0,                 0,       5.136618891,       7.653158153,       60.19318079,                 0,       337.9946692
          0,          26,           0,      -2.049934723,      -1.543949263,       -1.77945043,       11.33602417,      0.7384071934,      -1.901731332,      -1.820473318,       7.245013008,  1.266441246e+015,  2.194355927e+015,                 0,              5,      -4.587325353,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                      0,                       0,                             0,                 0,                  0,                 0,       5.443343004,       7.960158897,       135.4069288,                 0,        337.987621
          0,          27,           0,      -1.978888475,      -1.478820747,      -1.733016842,       11.64272107,      0.7654846588,      -1.953104417,      -1.881475176,       7.552016309,  2.568268424e+015,  4.442021093e+015,                 0,              5,      -4.584785383,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                      0,                       0,                             0,                 0,                  0,                 0,       5.750073213,       8.267166195,       297.2537086,                 0,       337.9721367
          0,          28,           0,      -1.942763074,       -1.44784526,      -1.701495026,       11.94942827,      0.7774398292,      -1.971211041,      -1.957468378,       7.859026692,  5.207544007e+015,  8.992255036e+015,                 0,              5,      -4.582266585,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                      0,                       0,                             0,                 0,                  0,                 0,       6.056809395,       8.574179878,       640.4633355,                 0,       337.9387599
          0,          29,           0,      -1.941004272,      -1.446441203,       -1.69139846,       12.25614522,      0.7760264931,      -1.958660887,      -2.038064759,       8.166043923,  1.055796114e+016,  1.820419494e+016,                 0,              5,      -4.579792696,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                      0,                       0,                             0,                 0,                  0,                 0,       6.363551503,        8.88119987,       1360.173826,                 0,       337.8678632
          0,          30,           0,      -1.966564003,      -1.469284959,      -1.703933937,       12.56287174,      0.7653030768,       -1.93642092,      -2.107833656,       8.473067896,  2.140397861e+016,  3.685442358e+016,                 0,              5,      -4.577405856,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                      0,                       0,                             0,                 0,                  0,                 0,       6.670299536,       9.188226142,       2856.547832,                 0,       337.7189711
          0,          31,           0,      -2.009474116,      -1.503398715,       -1.73161692,       12.86960761,      0.7502381993,       -1.91917236,      -2.155829672,       8.780098579,  4.338960117e+016,  7.461454364e+016,                 0,              5,      -4.575133164,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                      0,                       0,                             0,                 0,                  0,                 0,       6.977053514,       9.495258693,       5947.435221,                 0,       337.4090196
          0,          32,           0,      -2.056838779,      -1.538691516,      -1.762103052,       13.17635309,      0.7348184939,      -1.910952747,      -2.184022393,       9.087135978,  8.795496888e+016,  1.510683617e+017,                 0,              5,      -4.572956034,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                      0,                       0,                             0,                 0,                  0,                 0,       7.283813474,       9.802297538,       12300.18423,                 0,       336.7681642
          0,          33,           0,      -2.092836519,       -1.56534409,      -1.786170216,       13.48310841,      0.7205446709,      -1.910721957,       -2.20048778,       9.394180121,  1.782886587e+017,  3.058723259e+017,                 0,              5,      -4.570849048,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                      0,                       0,                             0,                 0,                  0,                 0,       7.590579459,        10.1093427,       25307.69697,                 0,       335.4500677
          0,          34,           0,      -2.106825553,       -1.57514361,      -1.800722146,       13.78987364,      0.7062174185,      -1.914979131,      -2.207885716,       9.701231051,   3.61392707e+017,  6.193326366e+017,                 0,              5,      -4.568795308,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                      0,                       0,                             0,                 0,                  0,                 0,       7.897351518,       10.41639421,       51864.63767,                 0,       332.7499489
          0,          35,           0,      -2.103964708,      -1.571297617,      -1.808177232,       14.09664895,      0.6890293937,      -1.919277102,      -2.201651029,       10.00828882,  7.325379243e+017,  1.254080343e+018,                 0,              5,      -4.566770203,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                      0,                       0,                             0,                 0,                  0,                 0,       8.204129703,       10.72345209,       105966.9621,                 0,       327.2358265
          0,          36,           0,      -2.096414699,      -1.563432313,      -1.812153438,       14.40343401,      0.6667090676,      -1.919616234,      -2.177897861,       10.31535348,  1.484834071e+018,  2.539480518e+018,                 0,              5,      -4.564755743,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                      0,                       0,                             0,                 0,                  0,                 0,       8.510914071,       11.03051639,       216003.7148,                 0,       316.0015753
          0,          37,           0,      -2.093612514,      -1.556618436,      -1.814834772,       14.71022825,      0.6355814845,      -1.914816368,      -2.140328119,       10.62242509,  3.009707623e+018,   5.14260392e+018,                 0,              5,      -4.562736031,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                      0,                       0,                             0,                 0,                  0,                 0,       8.817704681,       11.33758713,       439524.1193,                 0,       293.1545802
          0,          38,           0,      -2.094262707,      -1.554664618,      -1.815426991,       15.01703066,      0.5957464748,       -1.90440547,       -2.09786162,       10.92950371,  6.100569392e+018,  1.041454955e+019,                 0,              5,      -4.560697635,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                      0,                       0,                             0,                 0,                  0,                 0,       9.124501593,       11.64466436,       893136.2463,                 0,       246.7546943
          0,          39,           0,      -2.098355198,      -1.556243778,      -1.812394039,       15.32383568,      0.5481721695,      -1.890932897,      -2.058633196,       11.23658942,  1.236564927e+019,  2.109199728e+019,                 0,              5,      -4.558603968,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                      0,                       0,                             0,                 0,                  0,                 0,       9.431304871,       11.95174811,       1813030.456,                 0,       152.6202409
          0,          40,           0,      -2.104124213,       -1.56073384,      -1.804478723,       15.63064395,      0.4930945248,      -1.876624839,      -2.027330678,       11.54368229,   2.50648187e+019,  4.271843426e+019,                 0,              5,      -4.556464355,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                      0,                       0,                             0,                 0,                  0,                 0,       9.738114582,       12.25883843,       3677475.841,                 0,      -38.20275086
          0,          41,           0,      -2.107679001,      -1.566022703,      -1.790930752,       15.93745759,      0.4322141606,       -1.86427118,      -2.006307608,       11.85078238,  5.080585372e+019,  8.652347963e+019,                 0,              5,      -4.554294735,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                      0,                       0,                             0,                 0,                  0,                 0,       10.04493079,       12.56593535,       7454711.418,                 0,      -424.7862228
          0,          42,           0,      -2.109542894,      -1.570310363,      -1.777237144,       16.24427661,      0.3740461456,      -1.856038478,      -1.996221756,       12.15788978,   1.02982826e+020,  1.752565717e+020,                 0,              5,      -4.552097096,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                      0,                       0,                             0,                 0,                  0,                 0,       10.35175358,       12.87303893,       15104529.85,                 0,      -1207.578041
          0,          43,           0,      -2.108451535,      -1.573301257,      -1.760043569,       16.55110039,      0.3333487058,      -1.853395057,      -1.996899903,       12.46500457,  2.087458972e+020,  3.550070807e+020,                 0,              5,      -4.549869983,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                      0,                       0,                             0,                 0,                  0,                 0,       10.65858302,       13.18014922,       30593066.17,                 0,      -2792.049232
